Артикул,Название товара,Ссылка,Цена,Цена со скидкой,Бренд
254898,"Сыр Песто Oldenburger зеленый 45%, ~1кг",https://online.metro-cc.ru/products/1kg-syr-pesto-45-oldenburger-zelenyy-bzmzh,1399,899,OLDENBURGER
643528,"Сыр Брест-Литовск Легкий полутвердый 35%, 200г",https://online.metro-cc.ru/products/legkij-brest-litovsk-35-200g,209,0,БРЕСТ-ЛИТОВСК
270692,"Сыр Le Superbe Эмменталер кусковой 50%, 180г",https://online.metro-cc.ru/products/180g-syr-emmentaller-50-le-superbe-kus-bzmzh,749,699,LE SUPERBE
255116,"METRO Chef Сыр российский с топленым молоком сливочный 45%, ~1кг",https://online.metro-cc.ru/products/1kg-syr-rossiyskiy-45-metro-chef-topl-moloko-sliv-bzmzh,1019,919,METRO CHEF
621703,"METRO Chef Сыр Эдам полутвердый нарезка 40%, 500г",https://online.metro-cc.ru/products/metro-chef-edam-narezka-40-500-g,539,0,METRO CHEF
213942,"Сыр Радость вкуса Топленое молочко полутвердый нарезка 45%, 125г",https://online.metro-cc.ru/products/125g-syr-toplenoe-molochko-45-radost-vkusa-nar-bzmzh,178,149,РАДОСТЬ ВКУСА
112947,"Сыр Cheese Gallery Чеддер красный полутвердый 50%, 200г",https://online.metro-cc.ru/products/syr-polutverdyj-cheese-gallery-cheddar-krasnyj-50-200g,329,209,CHEESE GALLERY
204107,"Сыр Viola Российский полутвердый 50%, 350г",https://online.metro-cc.ru/products/350g-syr-50-viola-rossiyskiy-kusok-bzmzh,459,379.01,VIOLA
426354,"Сыр Mlekara Sabac А ла Каймак мягкий 70%, 250г",https://online.metro-cc.ru/products/mlekara-sabac-a-la-kajmak-myagkij-70-250-g-bzmzh,229,199,MLEKARA SABAC
43862,"Сыр Киприно Алтайский полутвердый 50%, ~1кг",https://online.metro-cc.ru/products/altajskij-kiprino-50-1kg-bzmzh,1339,0,КИПРИНО
254897,"Сыр Песто Oldenburger красный 45%, ~1кг",https://online.metro-cc.ru/products/1kg-syr-pesto-45-oldenburger-krasnyy-bzmzh,1379,899,OLDENBURGER
599215,"Сыр Dorblu Classic с голубой плесенью 50%, ~650Г",https://online.metro-cc.ru/products/dorblu-classic-s-goluboj-50-125kg-bzmzh,4436.25,3373.75,DORBLU
